key,bib_title,doi,declared_url,status,registry,registry_title,title_similarity
bonati2022openrangym,{OpenRAN} Gym: An Open Toolbox for Data Collection and Experimentation with {AI} in {O-RAN},10.1109/WCNC51071.2022.9771908,https://doi.org/10.1109/WCNC51071.2022.9771908,VERIFIED,Crossref,OpenRAN Gym: An Open Toolbox for Data Collection and Experimentation with AI in O-RAN,1.0
bonati2023openrangym,"{OpenRAN} Gym: {AI}/{ML} Development, Data Collection, and Testing for {O-RAN} on {PAWR} Platforms",10.1016/j.comnet.2022.109502,https://doi.org/10.1016/j.comnet.2022.109502,VERIFIED,Crossref,"OpenRAN Gym: AI/ML development, data collection, and testing for O-RAN on PAWR platforms",1.0
lacava2023nsoran,{ns-O-RAN}: Simulating {O-RAN} {5G} Systems in {ns-3},10.1145/3592149.3592161,https://doi.org/10.1145/3592149.3592161,VERIFIED,Crossref,ns-O-RAN: Simulating O-RAN 5G Systems in ns-3,1.0
schmidt2021flexric,{FlexRIC}: An {SDK} for Next-Generation {SD-RANs},10.1145/3485983.3494870,https://doi.org/10.1145/3485983.3494870,VERIFIED,Crossref,FlexRIC,0.2857
doro2022orchestran,{OrchestRAN}: Network Automation Through Orchestrated Intelligence in the Open {RAN},10.1109/INFOCOM48880.2022.9796744,https://doi.org/10.1109/INFOCOM48880.2022.9796744,VERIFIED,Crossref,OrchestRAN: Network Automation through Orchestrated Intelligence in the Open RAN,1.0
upadhyaya2023oaic,Open {AI} Cellular ({OAIC}): An Open Source {5G} {O-RAN} Testbed for Design and Testing of {AI}-Based {RAN} Management Algorithms,10.1109/MNET.2023.3320933,https://doi.org/10.1109/MNET.2023.3320933,VERIFIED,Crossref,Open AI Cellular (OAIC): An Open Source 5G O-RAN Testbed for Design and Testing of AI-Based RAN Management Algorithms,1.0
feraudo2024xdevsm,{xDevSM}: Streamlining {xApp} Development With a Flexible Framework for {O-RAN} {E2} Service Models,10.1145/3636534.3697325,https://doi.org/10.1145/3636534.3697325,VERIFIED,Crossref,xDevSM: Streamlining xApp Development With a Flexible Framework for O-RAN E2 Service Models,1.0
feraudo2026xdevsm,"{xDevSM}: An Open-Source Framework for Portable, {AI}-Ready {xApps} Across Heterogeneous {O-RAN} Deployments",10.48550/arXiv.2602.03821,https://doi.org/10.48550/arXiv.2602.03821,VERIFIED,DataCite,"xDevSM: An Open-Source Framework for Portable, AI-Ready xApps Across Heterogeneous O-RAN Deployments",1.0
huseynov2026granularity,{AI}-Enabled {KPM} Granularity Control {xApp} for {O-RAN} Digital Twins,10.1109/MCOMSTD.2026.3677760,https://doi.org/10.1109/MCOMSTD.2026.3677760,VERIFIED,Crossref,AI-Enabled KPM Granularity Control xApp for O-RAN Digital Twins,1.0
groen2025security,"Implementing and Evaluating Security in {O-RAN}: Interfaces, Intelligence, and Platforms",10.1109/MNET.2024.3434419,https://doi.org/10.1109/MNET.2024.3434419,VERIFIED,Crossref,"Implementing and Evaluating Security in O-RAN: Interfaces, Intelligence, and Platforms",1.0
song2022telemetry,Network Telemetry Framework,10.17487/RFC9232,https://doi.org/10.17487/RFC9232,VERIFIED,Crossref,Network Telemetry Framework,1.0
bjorklund2018nmda,Network Management Datastore Architecture ({NMDA}),10.17487/RFC8342,https://doi.org/10.17487/RFC8342,VERIFIED,Crossref,Network Management Datastore Architecture (NMDA),1.0
tan2021int,In-Band Network Telemetry: A Survey,10.1016/j.comnet.2020.107763,https://doi.org/10.1016/j.comnet.2020.107763,VERIFIED,Crossref,In-band Network Telemetry: A Survey,1.0
peyre2019optimal,Computational Optimal Transport with Applications to Data Sciences,10.1561/2200000073,https://doi.org/10.1561/2200000073,VERIFIED,Crossref,Computational Optimal Transport with Applications to Data Sciences,1.0
sun2016deepcoral,Deep {CORAL}: Correlation Alignment for Deep Domain Adaptation,10.1007/978-3-319-49409-8_35,https://doi.org/10.1007/978-3-319-49409-8_35,VERIFIED,Crossref,Deep CORAL: Correlation Alignment for Deep Domain Adaptation,1.0
benDavid2010theory,A Theory of Learning from Different Domains,10.1007/s10994-009-5152-4,https://doi.org/10.1007/s10994-009-5152-4,VERIFIED,Crossref,A theory of learning from different domains,1.0
tzeng2017adda,Adversarial Discriminative Domain Adaptation,10.1109/CVPR.2017.316,https://doi.org/10.1109/CVPR.2017.316,VERIFIED,Crossref,Adversarial Discriminative Domain Adaptation,1.0
courty2017ot,Optimal Transport for Domain Adaptation,10.1109/TPAMI.2016.2615921,https://doi.org/10.1109/TPAMI.2016.2615921,VERIFIED,Crossref,Optimal Transport for Domain Adaptation,1.0
angelopoulos2023conformal,Conformal Prediction: A Gentle Introduction,10.1561/2200000101,https://doi.org/10.1561/2200000101,VERIFIED,Crossref,Conformal Prediction: A Gentle Introduction,1.0
vovk2022algorithmic,Algorithmic Learning in a Random World,10.1007/978-3-031-06649-8,https://doi.org/10.1007/978-3-031-06649-8,VERIFIED,Crossref,Algorithmic Learning in a Random World,1.0
barber2023exchangeability,Conformal Prediction Beyond Exchangeability,10.1214/23-AOS2276,https://doi.org/10.1214/23-AOS2276,VERIFIED,Crossref,Conformal prediction beyond exchangeability,1.0
sadinle2018setvalued,Least Ambiguous Set-Valued Classifiers With Bounded Error Levels,10.1080/01621459.2017.1395341,https://doi.org/10.1080/01621459.2017.1395341,VERIFIED,Crossref,Least Ambiguous Set-Valued Classifiers With Bounded Error Levels,1.0
gama2014drift,A Survey on Concept Drift Adaptation,10.1145/2523813,https://doi.org/10.1145/2523813,VERIFIED,Crossref,A survey on concept drift adaptation,1.0
lu2019drift,Learning under Concept Drift: A Review,10.1109/TKDE.2018.2876857,https://doi.org/10.1109/TKDE.2018.2876857,VERIFIED,Crossref,Learning under Concept Drift: A Review,1.0
webb2016drift,Characterizing Concept Drift,10.1007/s10618-015-0448-4,https://doi.org/10.1007/s10618-015-0448-4,VERIFIED,Crossref,Characterizing concept drift,1.0
bifet2007adwin,Learning from Time-Changing Data with Adaptive Windowing,10.1137/1.9781611972771.42,https://doi.org/10.1137/1.9781611972771.42,VERIFIED,Crossref,Learning from Time-Changing Data with Adaptive Windowing,1.0
page1954inspection,Continuous Inspection Schemes,10.1093/biomet/41.1-2.100,https://doi.org/10.1093/biomet/41.1-2.100,VERIFIED,Crossref,CONTINUOUS INSPECTION SCHEMES,1.0
friedman2001gradient,Greedy Function Approximation: A Gradient Boosting Machine,10.1214/aos/1013203451,https://doi.org/10.1214/aos/1013203451,VERIFIED,Crossref,Greedy function approximation: A gradient boosting machine.,1.0
chow1970reject,On Optimum Recognition Error and Reject Tradeoff,10.1109/TIT.1970.1054406,https://doi.org/10.1109/TIT.1970.1054406,VERIFIED,Crossref,On optimum recognition error and reject tradeoff,1.0
bertsimas2004robustness,The Price of Robustness,10.1287/opre.1030.0065,https://doi.org/10.1287/opre.1030.0065,VERIFIED,Crossref,The Price of Robustness,1.0
